Symbol	Description
CU.PR.G	Canadian Utilities Ltd Pref Ser Dd
CU.X	Cdn Util Cl B
CUD	Claymore Sp US Div Growers ETF
CUD.A	Claymore Sp US Div Growers ETF Adv
CUF.DB.D	Cominar REIT 6.50 Debs Series D
CUF.DB.E	Cominar REIT 5.75 Debs Ser E
CUF.UN	Cominar R E Un
CUM	Copper Mountain Mining Corp
CUP.U	Caribbean Util US
CUQ	Churchill Corp A
CUQ.DB	The Churchill Corp 6.0 Debs
CUR	Diagnocure Inc J
CUS	Canexus Corporation
CUS.DB	Canexus Corp 8 Pct Debs
CUS.DB.A	Canexus Corp 5.75 Pct Ser III Debs
CUS.DB.B	Canexus Corp 5.75 Pct Ser IV Debs
CUS.DB.C	Canexus Corp 6.00 Pct Conv Debs Ser V
CUV	Curis Resources Ltd
CVD	Claymore Adv Convert Bond ETF
CVD.A	Claymore Adv Convert Bond ETF Adv Class
CVE	Cenovus Energy Inc.
CVG	Clairvest Group
CVI.A	Calvalley Petroleum Inc.
CVL	Cervus Equipment Corporation
CVL.DB	Cervus Equipment Corp 6 Pct Deb
CVT	Cvtech Group Inc.
CVV	Canalaska Uranium Ltd
CWA	Coast Wholesale Appliances Inc.
CWB	Cdn Western Bank
CWB.PR.A	Canadian Western Bank 5Yr Pref Series 3
CWF	Cdn World Fund
CWG	Craig Wireless Systems Ltd.
CWL	Caldwell Partners International Inc
CWO	Claymore Broad Emerging Mkt ETF Com
CWO.A	Claymore Broad Emerging Mkt ETF Adv
CWT.DB.B	Calloway REIT 5.75 Conv Deb
CWT.UN	Calloway Real Estate Investment Trust
CWW	Claymore S&P Global Water ETF Common
CWW.A	Claymore S&P Global Water ETF Advisor Cl
CWX	Canwel Building Materials Group Ltd
CWX.DB	Canwel Building Materials 5.85 Pct Debs
CXA.B	Cons Hci Cl B
CXF	Cdn Convert Liquid Universe ETF
CXF.A	Cdn Convert Liquid Univ ETF Adv
CXI	Currency Exchange International
CXI.WT.S	Currency Exchange International Corp Wts
CXN	Chalice Gold Mines Ltd
CXS	Counsel Corp
CXX	Crosshair Exploration
CYB	Cymbria Corporation Cl A
CYH	Claymore Glbl Monthly Advantaged Div ETF
CYH.A	Claymore Glbl Monthly Adv Div ETF Cls A
CYM	Cymat Technologies Ltd.
CYT	Catalyst Paper Corporation
CZN	Cdn Zinc Corp J
CZQ	Continental Precious Minerals Inc.
D.DB.H	Dundee REIT 5.50 Pct Conv Debs Ser H
D.UN	Dundee Real Estate Investment Trust
DA.A	Discovery Air Inc.
DA.DB.A	Discovery Air Inc 8.375 Pct Debs
DBO	Dbox Technologies Inc
DC.A	Dundee Corp. Cl.A Sv
DC.DB	Dundee Corp. 5.85% Debs
DC.PR.B	Dundee Corp First Pref Ser 2
DC.PR.C	Dundee Corp Pref Series 4
DCD.UN	First Asset Diversified Conv. Deb. Fund
DCI	Directcash Payments Inc.
DD	Dds Wireless International Inc.
DDC	Dominion Diamond Corporation
DEE	Delphi Energy Corp.
DEJ	Dejour Energy Inc
DEN	Dundee Energy Limited
DF	Dividend 15 Split Corp. II
DF.PR.A	Dividend 15 Split Corp. II Prf
DFN	Dividend 15 Split Corp
DFN.PR.A	Dividend 15 Split Corp
DG.UN	Global Div.Invest. Grade Income Trust
DGC	Detour Gold Corporation
DGI	Data Group Inc
DGI.DB.A	Data Group Income Fund 6.00 Conv Debs
DGJ	Pwshrs DB Gold Dbls Shrt ETN
DGS	Dividend Growth Split Corp. Class A
DGS.PR.A	Dividend Growth Split Corp. Preferred
DGU	Powershares DB Gold Double Long ETN
DH	Davis Henderson Corporation
